DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,is_anomaly,hour,day_of_week,day_of_month,day_of_year,week_of_year,month,year,quarter,is_weekend,Global_active_power_lag_1,Global_active_power_lag_2,Global_active_power_lag_3,Global_active_power_lag_24,Global_active_power_lag_48,Global_active_power_lag_168,Global_active_power_roll_mean_3,Global_active_power_roll_std_3,Global_active_power_roll_mean_6,Global_active_power_roll_std_6,Global_active_power_roll_mean_12,Global_active_power_roll_std_12,Global_active_power_roll_mean_24,Global_active_power_roll_std_24,Global_active_power_roll_mean_168,Global_active_power_roll_std_168,is_holiday,temperature,humidity,wind_speed
2006-12-24 15:00:00,47.476,4.2379999999999995,243.1115384615385,15.23076923076923,393.0,242.0,0.0,0,15,6,24,358,51,12,2006,4,1,0.0,0.0,0.0,0.0,0.0,126.168,0.0,0.0,0.0,0.0,0.0,0.0,40.98466666666666,84.9895840056255,14.817559523809525,45.79640923895742,0,1.8450610902406803,85.77518783310735,4.544692627662235
2006-12-24 16:00:00,63.618,4.22,243.76666666666668,12.695238095238096,412.0,38.0,150.0,0,16,6,24,358,51,12,2006,4,1,47.476,0.0,0.0,60.616,0.0,127.682,15.825333333333331,27.41028138004664,7.912666666666667,19.381995838062178,3.9563333333333337,13.705140690023365,42.96283333333333,84.54552543203992,14.349154761904762,45.04699787932574,0,3.482137700878603,44.34774659060709,8.570004757641659
2006-12-25 11:00:00,79.308,3.826,237.96875,20.8375,581.0,0.0,278.0,0,11,0,25,359,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628916666666666,15.862144753048533,12.981619047619049,43.5315232124414,1,3.679527749015957,86.2844715496354,7.477883893024143
2006-12-25 12:00:00,171.328,18.812,240.8985964912281,12.842105263157896,1359.0,0.0,272.0,0,12,0,25,359,52,12,2006,4,0,79.308,0.0,0.0,0.0,0.0,0.0,26.436000000000003,45.78849514889083,13.218000000000002,32.377355420107946,6.609000000000001,22.894247574445433,7.933416666666666,21.948993206417484,13.453690476190475,43.81897601406936,1,5.94354203746638,78.47773459926066,3.9663803295657702
2006-12-25 13:00:00,97.054,3.166,240.59333333333333,13.72,1122.0,4.0,0.0,0,13,0,25,359,52,12,2006,4,0,171.328,79.308,0.0,0.0,0.0,0.0,83.54533333333335,85.7425631838315,41.77266666666667,70.95534985514949,20.886333333333337,52.57736758743483,15.072083333333332,39.83238699952224,14.4735,45.46668965152691,1,4.179815217470272,65.00241914135833,4.257565526257307
2006-12-25 14:00:00,51.25,0.928,244.30882352941177,12.43529411764706,339.0,0.0,275.0,0,14,0,25,359,52,12,2006,4,0,97.054,171.328,79.308,0.0,0.0,0.0,115.89666666666666,48.81807723920864,57.94833333333333,70.58961020905743,28.974166666666665,56.398334401313875,19.116,43.03367080099831,15.05120238095238,45.89624502827355,1,1.6756314315387209,68.12456039918136,4.653579194540277
2006-12-25 15:00:00,45.186,1.414,244.31384615384616,14.384615384615383,360.0,0.0,237.0,0,15,0,25,359,52,12,2006,4,0,51.25,97.054,171.328,47.476,0.0,0.0,106.544,60.59889929693448,66.49,65.05930104758272,33.245,55.943415864116254,21.251416666666668,43.31450169643123,15.356261904761904,45.96587424223705,1,1.807633585491247,58.34024584641838,4.8359018698352045
2006-12-25 16:00:00,190.034,19.848,241.3336170212766,16.982978723404255,1645.0,0.0,0.0,1,16,0,25,359,52,12,2006,4,0,45.186,51.25,97.054,63.618,60.616,0.0,64.49666666666666,28.358032183727705,74.021,58.06239370539246,37.0105,55.01531451001951,21.156,43.25670408960501,15.62522619047619,46.00766217202694,1,2.634909118260216,74.93981437609199,8.243723259841776
2006-12-25 17:00:00,61.088,8.652000000000001,239.49433333333337,8.573333333333332,228.0,0.0,104.0,0,17,0,25,359,52,12,2006,4,0,190.034,45.186,51.25,0.0,315.03,0.0,95.49,81.93362542936815,105.69333333333331,61.34703798771922,52.846666666666664,68.97333969972262,26.423333333333336,54.80683809658176,16.756380952380955,47.91765930521995,1,2.1038734569554336,77.04897149758159,4.748046020196665
2006-12-25 21:00:00,138.568,2.496,236.63888888888889,21.755555555555556,436.0,803.0,463.0,0,21,0,25,359,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.38466666666667,73.82867692886458,57.937333333333335,66.94278984507908,28.968666666666667,54.94468198238048,17.12,48.02141174280965,1,-0.7491590410535061,75.47168845319442,4.945018414576532
2006-12-25 22:00:00,206.296,3.474,236.645,19.818181818181817,550.0,87.0,341.0,1,22,0,25,359,52,12,2006,4,0,138.568,0.0,0.0,0.0,173.92600000000002,0.0,46.18933333333333,80.00227210106809,64.94833333333332,82.14138969768325,69.48466666666667,67.9834118555045,34.742333333333335,58.90593111546332,17.944809523809525,48.90743913889971,1,0.8540782094031414,72.45934454987562,4.253274483468933
2006-12-26 20:00:00,109.916,2.098,241.43923076923076,17.607692307692307,511.0,4.0,464.0,0,20,1,26,360,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.369333333333332,49.696323225616254,18.192297619047615,50.40133373134998,0,4.152813579365184,63.923334743908065,1.8685084979552795
2006-12-26 21:00:00,141.508,3.688,240.32333333333335,12.345833333333331,575.0,8.0,850.0,0,21,1,26,360,52,12,2006,4,0,109.916,0.0,0.0,138.568,0.0,0.0,36.63866666666666,63.460032188246906,18.31933333333333,44.873019094625896,9.159666666666665,31.730016094123457,18.949166666666667,53.25204845185618,18.84655952380952,50.87495153414131,0,3.774640270377704,58.75097034781196,7.210709303242318
2006-12-28 08:00:00,107.804,4.9719999999999995,240.931914893617,9.536170212765958,629.0,0.0,836.0,0,8,3,28,362,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.688869047619043,51.7253790815732,0,5.586407775057754,70.39240691877559,5.274208792255817
2006-12-28 09:00:00,65.784,1.61,240.9471428571429,9.814285714285717,548.0,0.0,433.0,0,9,3,28,362,52,12,2006,4,0,107.804,0.0,0.0,0.0,0.0,147.108,35.93466666666666,62.2406684197184,17.96733333333333,44.01079870516621,8.983666666666664,31.12033420985922,4.491833333333333,22.005399352583108,20.330559523809523,52.146639531379186,0,-0.23395948847629944,64.63235907189578,3.723499916396077
2006-12-28 20:00:00,11.36,0.6559999999999999,237.095,24.2,2.0,64.0,34.0,0,20,3,28,362,52,12,2006,4,0,0.0,0.0,0.0,0.0,109.916,45.44,0.0,0.0,0.0,0.0,14.465666666666664,34.95213730838564,7.232833333333335,25.27561464382591,19.25125,51.24429627554124,0,2.9494917740982207,75.54679591064014,2.912927720481918
